step,loss
0,9.012025
1,9.000235
2,8.981336
3,8.951344
4,8.907676
5,8.853693
6,8.762993
7,8.63727
8,8.451945
9,8.416918
10,8.191395
11,7.958087
12,7.728119
13,7.528565
14,7.35167
15,7.17485
16,7.014965
17,6.85741
18,6.721298
19,6.594303
20,6.476104
21,6.362527
22,6.269873
23,6.184957
24,6.096503
25,6.019681
26,5.956568
27,5.878667
28,5.829834
29,5.786405
30,5.745689
31,5.701253
32,5.665902
33,5.631409
34,5.597034
35,5.566
36,5.534237
37,5.510223
38,5.477764
39,5.449641
40,5.433159
41,5.410308
42,5.385521
43,5.365197
44,5.344339
45,5.337626
46,5.328388
47,5.305357
48,5.297417
49,5.276406
50,5.245185
51,5.234316
52,5.209042
53,5.201659
54,5.178884
55,5.154005
56,5.134354
57,5.122131
58,5.106655
59,5.086163
60,5.070107
61,5.048911
62,5.033258
63,5.008822
64,5.001636
65,4.975217
66,4.955144
67,4.933807
68,4.926192
69,4.9321
70,4.912585
71,4.895916
72,4.881535
73,4.853787
74,4.843047
75,4.82818
76,4.814445
77,4.803396
78,4.775925
79,4.760875
80,4.746482
81,4.73031
82,4.714453
83,4.704533
84,4.701558
85,4.692858
86,4.687182
87,4.670371
88,4.649284
89,4.626466
90,4.620743
91,4.596391
92,4.569657
93,4.536033
94,4.533696
95,4.523885
96,4.505289
97,4.497124
98,4.484362
99,4.468967
100,4.474338
101,4.469826
102,4.455158
103,4.443499
104,4.411674
105,4.411524
106,4.393216
107,4.374383
108,4.390242
109,4.36969
110,4.361715
111,4.34368
112,4.329358
113,4.310395
114,4.304407
115,4.311178
116,4.304192
117,4.304429
118,4.309481
119,4.299637
120,4.289405
121,4.255711
122,4.226102
123,4.22306
124,4.210678
125,4.198138
126,4.186394
127,4.171948
128,4.163683
129,4.143638
130,4.135093
131,4.128064
132,4.107009
133,4.082811
134,4.053507
135,4.060783
136,4.0352
137,4.036774
138,4.018181
139,4.001778
140,4.000162
141,3.989207
142,3.973759
143,3.955713
144,3.935486
145,3.926149
146,3.944581
147,3.948843
148,3.949546
149,3.935652
150,3.927434
151,3.905482
152,3.897546
153,3.878407
154,3.872236
155,3.85475
156,3.851746
157,3.844515
158,3.847178
159,3.840151
160,3.827296
161,3.816325
162,3.810166
163,3.779633
164,3.768983
165,3.744124
166,3.773635
167,3.771037
168,3.746297
169,3.738797
170,3.717557
171,3.714806
172,3.713308
173,3.714733
174,3.714037
175,3.697716
176,3.684015
177,3.679464
178,3.668394
179,3.673509
180,3.657183
181,3.656264
182,3.652721
183,3.629964
184,3.611421
185,3.617289
186,3.632698
187,3.617292
188,3.599923
189,3.60692
190,3.627168
191,3.616866
192,3.590209
193,3.572821
194,3.581554
195,3.563798
196,3.544377
197,3.557379
198,3.538143
199,3.545942
200,3.538682
201,3.517844
202,3.515643
203,3.510394
204,3.492694
205,3.466077
206,3.46559
207,3.467293
208,3.45188
209,3.435459
210,3.434632
211,3.441359
212,3.437434
213,3.435639
214,3.469153
215,3.447617
216,3.46403
217,3.433953
218,3.420225
219,3.40819
220,3.407245
221,3.415567
222,3.375642
223,3.36965
224,3.356253
225,3.369281
226,3.397829
227,3.385256
228,3.359971
229,3.362779
230,3.351196
231,3.34577
232,3.347391
233,3.325496
234,3.324411
235,3.319688
236,3.335334
237,3.316612
238,3.35325
239,3.330124
240,3.282607
241,3.288144
242,3.278108
243,3.283021
244,3.27841
245,3.285768
246,3.291388
247,3.287915
248,3.303666
249,3.318071
250,3.326256
251,3.339778
252,3.351799
253,3.331883
254,3.340919
255,3.324226
256,3.31943
257,3.319917
258,3.30461
259,3.308381
260,3.314278
261,3.29233
262,3.284118
263,3.289652
264,3.286371
265,3.280796
266,3.28406
267,3.277911
268,3.292174
269,3.29993
270,3.306227
271,3.290462
272,3.286024
273,3.274753
274,3.257037
275,3.260058
276,3.251804
277,3.247137
278,3.235626
279,3.222297
280,3.221365
281,3.240295
282,3.228987
283,3.231512
284,3.22467
285,3.223231
286,3.217142
287,3.219758
288,3.22644
289,3.232076
290,3.242646
291,3.242797
292,3.22685
293,3.236726
294,3.229655
295,3.224589
296,3.210165
297,3.215537
298,3.222009
299,3.189326
300,3.203846
301,3.217047
302,3.199574
303,3.182271
304,3.199273
305,3.197941
306,3.17859
307,3.166321
308,3.15867
309,3.138693
310,3.15557
311,3.162736
312,3.151033
313,3.157894
314,3.16876
315,3.173042
